iter	Passed	Remaining
481	640	688
482	641	686
483	642	685
484	643	683
485	644	682
486	646	681
487	648	680
488	649	678
489	650	677
490	651	675
491	652	674
492	653	672
493	654	670
494	655	668
495	656	667
496	658	666
497	659	664
498	660	663
499	661	661
500	663	660
501	664	659
502	666	658
503	667	656
504	668	655
505	670	654
506	671	652
507	672	651
508	673	650
509	675	648
510	676	647
511	678	646
512	680	645
513	681	644
514	683	643
515	684	642
516	685	640
517	687	639
518	688	637
519	689	636
520	690	634
521	691	633
522	693	632
523	694	631
524	696	629
525	697	628
526	698	626
527	699	625
528	701	624
529	702	623
530	704	621
531	705	620
532	707	620
533	709	618
534	710	617
535	711	616
536	712	614
537	713	612
538	714	611
539	715	609
540	716	608
541	718	606
542	719	605
543	720	604
544	722	602
545	723	601
546	724	600
547	725	598
548	727	597
549	728	595
550	729	594
551	730	593
552	732	592
553	733	590
554	734	588
555	735	587
556	736	585
557	738	584
558	739	583
559	740	581
560	741	579
561	742	578
562	744	577
563	746	577
564	749	576
565	750	575
566	751	573
567	753	572
568	753	571
569	755	569
570	756	568
571	757	566
572	758	565
573	759	563
574	760	561
575	761	560
576	762	559
577	764	558
578	765	556
579	767	555
580	768	554
581	769	552
582	771	551
583	772	550
584	774	549
585	777	549
586	779	548
587	780	546
588	781	545
589	783	544
590	784	543
591	786	541
592	787	540
593	789	539
594	790	537
595	791	536
596	792	534
597	793	533
598	794	531
599	795	530
600	796	528
601	797	527
602	798	526
603	799	524
604	800	522
605	801	521
606	802	519
607	804	518
608	805	517
609	806	515
610	807	514
611	808	512
612	809	511
613	811	509
614	812	508
615	814	507
616	816	506
617	817	505
618	819	504
619	820	502
620	821	501
621	822	499
622	823	498
623	825	497
624	826	495
625	827	494
626	828	492
627	829	491
628	830	490
629	832	488
630	833	487
631	834	485
632	835	484
633	837	483
634	838	481
635	839	480
636	840	478
637	841	477
638	842	475
639	844	474
640	845	473
641	847	472
642	848	471
643	850	469
644	851	468
645	852	466
646	853	465
647	854	464
648	856	463
649	857	461
650	859	460
651	860	459
652	862	458
653	863	456
654	865	455
655	866	454
656	868	453
657	869	452
658	871	451
659	872	449
660	874	448
661	875	447
662	876	445
663	878	444
664	880	443
665	882	442
666	883	441
667	884	439
668	886	438
669	887	437
670	888	435
671	890	434
672	891	433
673	893	432
674	894	430
675	895	429
676	896	427
677	898	426
678	899	425
679	900	423
680	902	422
681	903	421
682	905	420
683	906	418
684	908	417
685	909	416
686	910	415
687	912	413
688	913	412
689	914	410
690	915	409
691	917	408
692	918	406
693	919	405
694	920	403
695	921	402
696	923	401
697	924	399
698	925	398
699	926	396
700	927	395
701	928	394
702	929	392
703	930	391
704	931	389
705	932	388
706	933	386
707	934	385
708	935	384
709	936	382
710	937	381
711	939	379
712	940	378
713	942	377
714	943	376
715	944	374
716	945	373
717	947	372
718	948	370
719	949	369
720	950	367
721	951	366
722	953	365
723	954	363
724	955	362
725	956	361
726	957	359
727	958	358
728	959	356
729	960	355
730	961	353
731	962	352
732	963	351
733	964	349
734	965	348
735	966	346
736	967	345
737	968	343
738	969	342
739	970	341
740	971	339
741	972	338
742	973	336
743	974	335
744	975	333
745	976	332
746	977	331
747	978	329
748	979	328
749	980	326
750	981	325
751	982	324
752	983	322
753	984	321
754	985	319
755	986	318
756	987	317
757	988	315
758	990	314
759	991	312
760	992	311
761	993	310
762	994	308
763	995	307
764	996	306
765	997	304
766	998	303
767	999	301
768	1000	300
769	1001	299
770	1003	297
771	1003	296
772	1004	295
773	1005	293
774	1006	292
775	1007	290
776	1008	289
777	1009	288
778	1010	286
779	1011	285
780	1012	283
781	1013	282
782	1015	281
783	1015	279
784	1016	278
785	1017	277
786	1018	275
787	1020	274
788	1021	273
789	1022	271
790	1023	270
791	1024	268
792	1025	267
793	1026	266
794	1027	265
795	1028	263
796	1029	262
797	1030	260
798	1031	259
799	1032	258
800	1033	256
801	1034	255
802	1035	254
803	1036	252
804	1037	251
805	1039	250
806	1041	249
807	1042	247
808	1044	246
809	1045	245
810	1047	244
811	1048	242
812	1049	241
813	1051	240
814	1053	239
815	1054	237
816	1055	236
817	1056	235
818	1057	233
819	1058	232
820	1059	231
821	1060	229
822	1062	228
823	1063	227
824	1064	225
825	1065	224
826	1066	223
827	1067	221
828	1068	220
829	1070	219
830	1072	218
831	1073	216
832	1074	215
833	1075	214
834	1077	212
835	1078	211
836	1079	210
837	1081	209
838	1082	207
839	1084	206
840	1086	205
841	1088	204
842	1090	203
843	1091	201
844	1092	200
845	1093	199
846	1095	197
847	1097	196
848	1098	195
849	1099	194
850	1100	192
851	1102	191
852	1103	190
853	1104	188
854	1106	187
855	1108	186
856	1109	185
857	1110	183
858	1112	182
859	1113	181
860	1114	179
861	1115	178
862	1116	177
863	1117	175
864	1119	174
865	1120	173
866	1121	172
867	1122	170
868	1123	169
869	1125	168
870	1127	166
871	1128	165
872	1130	164
873	1131	163
874	1133	161
875	1135	160
876	1136	159
877	1138	158
878	1139	156
879	1140	155
880	1142	154
881	1144	153
882	1147	152
883	1149	150
884	1150	149
885	1151	148
886	1153	146
887	1154	145
888	1155	144
889	1156	142
890	1158	141
891	1159	140
892	1161	139
893	1165	138
894	1190	139
895	1198	139
896	1203	138
897	1210	137
898	1212	136
899	1214	134
900	1225	134
901	1226	133
902	1228	131
903	1233	131
904	1239	130
905	1241	128
906	1244	127
907	1246	126
908	1251	125
909	1253	123
910	1256	122
911	1258	121
912	1259	119
913	1260	118
914	1263	117
915	1264	115
916	1266	114
917	1267	113
918	1269	111
919	1270	110
920	1271	109
921	1272	107
922	1275	106
923	1276	105
924	1277	103
925	1278	102
926	1281	100
927	1282	99
928	1283	98
929	1284	96
930	1285	95
931	1287	93
932	1289	92
933	1290	91
934	1291	89
935	1293	88
936	1294	87
937	1295	85
938	1296	84
939	1297	82
940	1299	81
941	1300	80
942	1301	78
943	1302	77
944	1303	75
945	1305	74
946	1306	73
947	1307	71
948	1308	70
949	1310	68
950	1312	67
951	1313	66
952	1314	64
953	1315	63
954	1316	62
955	1318	60
956	1319	59
957	1320	57
958	1321	56
959	1322	55
960	1323	53
961	1324	52
962	1325	50
963	1326	49
964	1327	48
965	1328	46
966	1330	45
967	1332	44
968	1332	42
969	1333	41
970	1334	39
971	1337	38
972	1338	37
973	1339	35
974	1341	34
975	1343	33
976	1344	31
977	1345	30
978	1346	28
979	1348	27
980	1349	26
981	1350	24
982	1351	23
983	1352	21
984	1354	20
985	1355	19
986	1356	17
987	1357	16
988	1358	15
989	1359	13
990	1361	12
991	1362	10
992	1363	9
993	1364	8
994	1367	6
995	1368	5
996	1369	4
997	1370	2
998	1371	1
999	1372	0
